"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
10000528,"Auto Terminations","Illness Disability","Finished Products C Shift",2018-02-03,-1,1,"Other",2018
10000529,"Auto Terminations","Resignation","Finished Products D Shift",2013-04-03,-1,1,"Other",2013
10000530,"Auto Terminations","Resignation","Finished Products D Shift",2019-04-13,-1,1,"Other",2019
10000531,"Auto Terminations","Resignation","Finished Products D Shift",2018-11-22,-1,1,"Other",2018
10000532,"Auto Terminations","Resignation","Finished Products A Shift",2011-04-15,-1,1,"Other",2011
10000539,"Auto Terminations","Contract Expired","Temporary Resort",2013-12-21,-1,1,"Sydney",2013
10000539,"Auto Terminations","Contract Expired","Temporary Resort",2014-12-24,-1,1,"Sydney",2014
10000539,"Auto Terminations","Resignation","Temporary Resort",2019-03-22,-1,1,"Sydney",2019
10000540,"Auto Terminations","Resignation","Batch & Furnace",2011-01-22,-1,1,"Brisbane",2011
10000541,"Auto Terminations","Contract Expired","ACI Glass Packaging New Zealand",2012-06-02,-1,1,"Brisbane",2012
10000542,"Auto Terminations","Contract Expired","Business Sustainability & Environmental",2010-10-23,-1,1,"Sydney",2010
10000543,"Auto Terminations","Contract Expired","Temporary Resort",2011-05-18,-1,1,"Other",2011
10000545,"Auto Terminations","Resignation","Finished Products D Shift",2018-10-12,-1,1,"Other",2018
10000548,"Auto Terminations","Contract Expired","Temporary Resort",2011-07-23,-1,1,"Sydney",2011
10000550,"Auto Terminations","Contract Expired","Temporary Resort",2011-07-27,-1,1,"Sydney",2011
10000552,"Auto Terminations","Resignation","Electrical",2012-05-26,-1,1,"Sydney",2012
10000553,"Auto Terminations","Resignation","Batch & Furnace",2012-03-14,-1,1,"Brisbane",2012
10000554,"Auto Terminations","Resignation","Sales",2012-04-16,-1,1,"Brisbane",2012
10000560,"Auto Terminations","Resignation","Electrical",2016-03-31,-1,1,"Sydney",2016
10000564,"Auto Terminations","Resignation","Finished Products A Shift",2013-04-26,-1,1,"Other",2013
10000566,"Auto Terminations","Resignation","Finished Products B Shift",2016-05-02,-1,1,"Other",2016
10000567,"Auto Terminations","Resignation","Plant Maintenance",2012-01-25,-1,1,"Sydney",2012
10000568,"Auto Terminations","Resignation","Machine Maintenance",2012-06-08,-1,1,"Sydney",2012
10000570,"Auto Terminations","Resignation","Unit Plant Management",2015-07-31,-1,1,"Brisbane",2015
10000571,"Auto Terminations","Resignation","Engineering",2012-12-22,-1,1,"Sydney",2012
10000572,"Auto Terminations","Resignation","Finance",2013-03-30,-1,1,"Brisbane",2013
10000573,"Auto Terminations","Resignation","Sales",2013-10-24,-1,1,"Brisbane",2013
10000575,"Auto Terminations","Resignation","Finance",2016-07-01,-1,1,"Brisbane",2016
10000576,"Auto Terminations","Resignation","Forming",2015-04-16,-1,1,"Brisbane",2015
10000577,"Auto Terminations","Retrenchment (NZ Only 2010+)","Administration",2019-05-01,-1,1,"Brisbane",2019
10000578,"Auto Terminations","Resignation","Finished Products B Shift",2015-01-22,-1,1,"Other",2015
10000579,"Auto Terminations","Resignation","Finance",2017-05-06,-1,1,"Brisbane",2017
10000580,"Auto Terminations","Contract Expired","ACI Glass Packaging New Zealand",2015-11-01,-1,1,"Brisbane",2015
10000581,"Auto Terminations","Resignation","Human Resources",2015-09-12,-1,1,"Brisbane",2015
10000582,"Auto Terminations","Resignation","Forming Services",2018-04-04,-1,1,"Sydney",2018
10000583,"Auto Terminations","Resignation","Temporary Resort",2012-08-11,-1,1,"Sydney",2012
10000584,"Auto Terminations","Contract Expired","Temporary Resort",2013-12-21,-1,1,"Sydney",2013
10000585,"Auto Terminations","Resignation","Forming Services",2014-08-30,-1,1,"Sydney",2014
10000586,"Auto Terminations","Resignation","Forming B Shift",2016-01-11,-1,1,"Other",2016
10000587,"Auto Terminations","Resignation","Sales - Beer, Spirits, RTD & NAB",2015-04-03,-1,1,"Brisbane",2015
10000588,"Auto Terminations","Resignation","Finished Products D Shift",2017-10-11,-1,1,"Other",2017
10000590,"Auto Terminations","Resignation","Job Change",2018-07-28,-1,1,"Brisbane",2018
10000591,"Auto Terminations","Resignation","Quality Control",2017-06-01,-1,1,"Brisbane",2017
10000592,"Auto Terminations","Resignation","Machine Maintenance",2013-09-30,-1,1,"Sydney",2013
10000593,"Auto Terminations","Contract Expired","Temporary Resort",2012-12-22,-1,1,"Sydney",2012
10000595,"Auto Terminations","Resignation","Plant Maintenance",2014-03-15,-1,1,"Sydney",2014
10000595,"Auto Terminations","Resignation","Machine Maintenance",2018-12-22,-1,1,"Sydney",2018
10000597,"Auto Terminations","Resignation","Machine Maintenance",2016-12-10,-1,1,"Sydney",2016
10000598,"Auto Terminations","Resignation","Sales - Beer, Spirits, RTD & NAB",2015-07-25,-1,1,"Brisbane",2015
10000600,"Auto Terminations","Resignation","Marketing",2014-06-18,-1,1,"Brisbane",2014
10000601,"Auto Terminations","Contract Expired","Temporary Resort",2013-12-21,-1,1,"Sydney",2013
10000601,"Auto Terminations","Contract Expired","Temporary Resort",2014-12-24,-1,1,"Sydney",2014
10000602,"Auto Terminations","Contract Expired","Temporary Resort",2013-12-21,-1,1,"Sydney",2013
10000603,"Auto Terminations","Resignation","Marketing",2013-11-01,-1,1,"Brisbane",2013
10000604,"Auto Terminations","Resignation","Purchasing",2016-10-29,-1,1,"Brisbane",2016
10000606,"Auto Terminations","Resignation","Job Change",2018-12-15,-1,1,"Sydney",2018
10000608,"Auto Terminations","Contract Expired","Electrical",2013-12-21,-1,1,"Sydney",2013
10000609,"Auto Terminations","Non SAP Company Transfer","Sales",2019-06-01,-1,1,"Brisbane",2019
10000610,"Auto Terminations","Dismissal","Forming",2013-04-20,-1,1,"Other",2013
10000611,"Auto Terminations","Abandonment","Forming Services",2013-07-11,-1,1,"Sydney",2013
10000614,"Auto Terminations","Abandonment","Finance",2015-12-15,-1,1,"Brisbane",2015
10000615,"Auto Terminations","Contract Expired","Temporary Resort",2013-12-21,-1,1,"Sydney",2013
10000615,"Auto Terminations","Contract Expired","Temporary Resort",2014-12-24,-1,1,"Sydney",2014
10000615,"Auto Terminations","Contract Expired","Temporary Resort",2016-10-22,-1,1,"Sydney",2016
10000616,"Auto Terminations","Non SAP Company Transfer","Administration",2018-02-02,-1,1,"Brisbane",2018
10000617,"Auto Terminations","Resignation","Finished Products B Shift",2017-08-24,-1,1,"Other",2017
10000619,"Auto Terminations","Resignation","Sales",2014-12-02,-1,1,"Brisbane",2014
10000620,"Auto Terminations","Resignation","Finished Products A Shift",2017-05-07,-1,1,"Other",2017
10000624,"Auto Terminations","Resignation","Forming B Shift",2014-01-13,-1,1,"Other",2014
10000625,"Auto Terminations","Resignation","Forming C Shift",2017-11-07,-1,1,"Other",2017
10000626,"Auto Terminations","Resignation","Plant Maintenance",2016-01-16,-1,1,"Sydney",2016
10000626,"Auto Terminations","Resignation","Plant Maintenance",2016-10-15,-1,1,"Sydney",2016
10000627,"Auto Terminations","Resignation","Customer Service",2018-07-28,-1,1,"Brisbane",2018
10000632,"Auto Terminations","Resignation","Forming Services",2019-06-29,-1,1,"Sydney",2019
10000633,"Auto Terminations","Resignation","Forming B Shift",2014-04-11,-1,1,"Other",2014
10000634,"Auto Terminations","Contract Expired","Sales - Beer, Spirits, RTD & NAB",2015-04-11,-1,1,"Brisbane",2015
10000634,"Auto Terminations","Resignation","Purchasing",2015-11-14,-1,1,"Brisbane",2015
10000636,"Auto Terminations","Resignation","ACI Glass Packaging New Zealand",2015-12-01,-1,1,"Brisbane",2015
10000637,"Auto Terminations","Dismissal","Forming Services",2018-07-05,-1,1,"Sydney",2018
10000638,"Auto Terminations","Contract Expired","Supply Chain",2014-01-22,-1,1,"Other",2014
10000639,"Auto Terminations","Resignation","Sales & Marketing",2015-11-07,-1,1,"Brisbane",2015
10000640,"Auto Terminations","Contract Expired","Supply Chain",2014-02-26,-1,1,"Other",2014
10000644,"Auto Terminations","Resignation","Forming C Shift",2016-02-11,-1,1,"Other",2016
10000645,"Auto Terminations","Retrenchment (NZ Only 2010+)","Supply Chain",2017-06-01,-1,1,"Brisbane",2017
10000646,"Auto Terminations","Resignation","Unit Plant Management",2014-09-27,-1,1,"Brisbane",2014
10000648,"Auto Terminations","Resignation","Forming C Shift",2018-10-16,-1,1,"Other",2018
10000652,"Auto Terminations","Resignation","Administration",2016-01-09,-1,1,"Brisbane",2016
10000653,"Auto Terminations","Contract Expired","ACI Glass Packaging New Zealand",2014-10-11,-1,1,"Brisbane",2014
10000653,"Auto Terminations","Resignation","Administration",2016-03-30,-1,1,"Other",2016
10000655,"Auto Terminations","Resignation","Sales & Marketing",2016-07-01,-1,1,"Brisbane",2016
10000657,"Auto Terminations","Resignation","Electrical",2018-06-19,-1,1,"Other",2018
10000659,"Auto Terminations","Resignation","Finance",2017-06-14,-1,1,"Brisbane",2017
10000660,"Auto Terminations","Retrenchment (NZ Only 2010+)","Human Resources",2017-04-08,-1,1,"Brisbane",2017
10000661,"Auto Terminations","Contract Expired","Temporary Resort",2014-12-20,-1,1,"Sydney",2014
10000661,"Auto Terminations","Dismissal","Temporary Resort",2015-03-09,-1,1,"Sydney",2015
10000662,"Auto Terminations","Contract Expired","Temporary Resort",2014-12-20,-1,1,"Sydney",2014
10000663,"Auto Terminations","Contract Expired","Temporary Resort",2014-12-20,-1,1,"Sydney",2014
10000664,"Auto Terminations","Resignation","Finished Products D Shift",2019-05-03,-1,1,"Other",2019
10000667,"Auto Terminations","Resignation","Temporary Resort",2015-03-28,-1,1,"Sydney",2015
10000668,"Auto Terminations","Abandonment","Forming",2015-04-14,-1,1,"Brisbane",2015
10000669,"Auto Terminations","Contract Expired","Purchasing",2017-02-01,-1,1,"Brisbane",2017
10000670,"Auto Terminations","Resignation","Temporary Resort",2015-11-03,-1,1,"Sydney",2015
10000672,"Auto Terminations","Retrenchment (NZ Only 2010+)","Supply Chain",2017-08-01,-1,1,"Brisbane",2017
10000673,"Auto Terminations","Contract Expired","Forming Services",2015-07-18,-1,1,"Other",2015
10000674,"Auto Terminations","Contract Expired","Supply Chain",2015-07-11,-1,1,"Other",2015
10000675,"Auto Terminations","Resignation","Sales - Wine, Food and Distributors",2016-07-12,-1,1,"Brisbane",2016
10000677,"Auto Terminations","Dismissal","Sales",2019-03-29,-1,1,"Brisbane",2019
10000680,"Auto Terminations","Contract Expired","Temporary Resort",2016-04-23,-1,1,"Sydney",2016
10000680,"Auto Terminations","Resignation","Temporary Resort",2017-12-16,-1,1,"Sydney",2017
10000683,"Auto Terminations","Resignation","Electrical",2016-03-19,-1,1,"Sydney",2016
10000684,"Auto Terminations","Non SAP Company Transfer","O-I New Zealand",2018-01-01,-1,1,"Brisbane",2018
10000686,"Auto Terminations","Resignation","Sales & Marketing",2017-05-01,-1,1,"Brisbane",2017
10000690,"Auto Terminations","Resignation","Temporary Resort",2017-03-04,-1,1,"Sydney",2017
10000692,"Auto Terminations","Contract Expired","Electrical",2016-05-10,-1,1,"Sydney",2016
10000694,"Auto Terminations","Abandonment","Temporary Resort",2016-04-21,-1,1,"Sydney",2016
10000695,"Auto Terminations","Resignation","Purchasing",2016-10-22,-1,1,"Brisbane",2016
10000697,"Auto Terminations","Resignation","Administration",2017-08-28,-1,1,"Brisbane",2017
10000701,"Auto Terminations","Retrenchment (NZ Only 2010+)","",2018-09-27,-1,1,"Brisbane",2018
10000702,"Auto Terminations","Dismissal","Human Resources",2016-07-29,-1,1,"Brisbane",2016
10000704,"Auto Terminations","Dismissal","Quality Control",2016-08-06,-1,1,"Brisbane",2016
10000705,"Auto Terminations","Resignation","Human Resources",2017-05-06,-1,1,"Brisbane",2017
10000707,"Auto Terminations","Resignation","Machine Maintenance",2017-01-21,-1,1,"Sydney",2017
10000708,"Auto Terminations","Resignation","Electrical Inspection",2018-07-14,-1,1,"Sydney",2018
10000714,"Auto Terminations","Resignation","Manufacturing",2017-07-12,-1,1,"Brisbane",2017
10000715,"Auto Terminations","Resignation","Purchasing",2018-12-07,-1,1,"Brisbane",2018
10000716,"Auto Terminations","Resignation","Sales & Marketing",2017-07-13,-1,1,"Brisbane",2017
10000717,"Auto Terminations","Dismissal","Manufacturing",2016-12-02,-1,1,"Brisbane",2016
10000719,"Auto Terminations","Retrenchment (NZ Only 2010+)","Finance",2018-08-01,-1,1,"Brisbane",2018
10000722,"Auto Terminations","Resignation","Plant Maintenance",2017-03-01,-1,1,"Sydney",2017
10000724,"Auto Terminations","Resignation","Supply Chain",2018-07-14,-1,1,"Brisbane",2018
10000728,"Auto Terminations","Resignation","Finance",2017-12-09,-1,1,"Brisbane",2017
10000730,"Auto Terminations","Resignation","Machine Maintenance",2017-07-08,-1,1,"Sydney",2017
10000733,"Auto Terminations","Resignation","Administration",2017-07-17,-1,1,"Brisbane",2017
10000735,"Auto Terminations","Resignation","Temporary Resort",2017-03-28,-1,1,"Sydney",2017
10000737,"Auto Terminations","Resignation","Temporary Resort",2017-04-30,-1,1,"Sydney",2017
10000738,"Auto Terminations","Resignation","Job Change",2019-01-04,-1,1,"Brisbane",2019
10000740,"Auto Terminations","Contract Expired","Finance",2018-04-13,-1,1,"Brisbane",2018
10000741,"Auto Terminations","Contract Expired","Temporary Resort",2017-10-28,-1,1,"Sydney",2017
10000743,"Auto Terminations","Resignation","Sales & Marketing",2017-07-08,-1,1,"Brisbane",2017
10000748,"Auto Terminations","Contract Expired","Sales & Marketing",2017-09-30,-1,1,"Other",2017
10000748,"Auto Terminations","Contract Expired","Sales & Marketing",2017-10-28,-1,1,"Other",2017
10000748,"Auto Terminations","Contract Expired","Customer Service",2018-12-01,-1,1,"Other",2018
10000749,"Auto Terminations","Retrenchment (NZ Only 2010+)","Finance",2019-01-12,-1,1,"Brisbane",2019
10000751,"Auto Terminations","Contract Expired","Temporary Resort",2017-10-28,-1,1,"Sydney",2017
10000751,"Auto Terminations","Contract Expired","Temporary Resort",2018-09-01,-1,1,"Sydney",2018
10000753,"Auto Terminations","Resignation","Sales & Marketing",2017-12-01,-1,1,"Brisbane",2017
10000754,"Auto Terminations","Resignation","Forming",2019-05-04,-1,1,"Brisbane",2019
10000756,"Auto Terminations","Dismissal","Finished Products C Shift",2017-11-23,-1,1,"Other",2017
10000758,"Auto Terminations","Resignation","Human Resources",2017-11-25,-1,1,"Other",2017
10000759,"Auto Terminations","Resignation","Finance",2018-08-02,-1,1,"Brisbane",2018
10000760,"Auto Terminations","Resignation","Sales",2018-08-09,-1,1,"Brisbane",2018
10000762,"Auto Terminations","Resignation","Finished Products B Shift",2017-11-05,-1,1,"Other",2017
10000764,"Auto Terminations","Dismissal","Finance",2018-01-13,-1,1,"Brisbane",2018
10000772,"Auto Terminations","Resignation","Manufacturing",2018-10-27,-1,1,"Brisbane",2018
10000776,"Auto Terminations","Resignation","Job Change",2018-06-30,-1,1,"Sydney",2018
10000781,"Auto Terminations","Resignation","Finance",2019-03-21,-1,1,"Brisbane",2019
10000782,"Auto Terminations","Resignation","Electrical",2019-03-20,-1,1,"Sydney",2019
10000794,"Auto Terminations","Resignation","Electrical Inspection",2019-04-07,-1,1,"Sydney",2019
10000808,"Auto Terminations","Dismissal","Temporary Resort",2018-12-21,-1,1,"Sydney",2018
10000811,"Auto Terminations","Abandonment","Temporary Resort",2019-05-02,-1,1,"Sydney",2019
10000816,"Auto Terminations","Contract Expired","Finance",2019-05-11,-1,1,"Other",2019
10000817,"Auto Terminations","Resignation","Job Change",2019-05-04,-1,1,"Sydney",2019
10000012,"Rehire","Fill vacancy","Finished Products A Shift",2017-05-08,1,1,"Other",2017
10000066,"Rehire","Fill vacancy","Forming Services",2016-04-26,1,1,"Sydney",2016
10000081,"Rehire","Fill temporary absence","Forming C Shift",2014-10-10,1,1,"Other",2014
10000082,"Rehire","Fill temporary absence","Engineering",2016-02-29,1,1,"Sydney",2016
10000093,"Rehire","Fill temporary absence","Forming B Shift",2012-10-09,1,1,"Other",2012
10000093,"Rehire","Fill temporary absence","Forming D Shift",2012-10-09,1,1,"Other",2012
10000094,"Rehire","Fill vacancy","Finished Products C Shift",2017-04-10,1,1,"Other",2017
10000277,"Hire Employee","Fill vacancy","Engineering",2001-02-15,1,1,"Brisbane",2001
10000277,"Hire Employee","Fill vacancy","Engineering",2001-02-15,1,1,"Brisbane",2001
10000299,"Rehire","No reason specified","Temporary Resort",2010-06-11,1,1,"Sydney",2010
10000299,"Rehire","No reason specified","Temporary Resort",2010-06-11,1,1,"Sydney",2010
10000434,"Rehire","No reason specified","Electrical Inspection",2006-12-04,1,1,"Other",2006
10000434,"Rehire","No reason specified","Electrical Inspection",2006-12-04,1,1,"Sydney",2006
10000447,"Hire Employee","Fill vacancy","Engineering",2008-04-03,1,1,"Brisbane",2008
10000478,"Hire Employee","Fill vacancy","Purchasing",2008-12-09,1,1,"Brisbane",2008
10000505,"Hire Employee","Fill vacancy","Purchasing",2009-08-03,1,1,"Brisbane",2009
10000523,"Hire Employee","Fill vacancy","Sales",2010-02-02,1,1,"Brisbane",2010
10000523,"Hire Employee","Fill vacancy","Sales - Beer, Spirits, RTD & NAB",2010-02-02,1,1,"Brisbane",2010
10000533,"Hire Employee","Fill vacancy","Forming Services",2010-04-14,1,1,"Brisbane",2010
10000539,"Rehire","No reason specified","Temporary Resort",2010-06-11,1,1,"Sydney",2010
10000539,"Rehire","No reason specified","Temporary Resort",2010-06-11,1,1,"Sydney",2010
